Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
519,Lance Broadway,24,CHW,AL,-0.1,1,0,1.000,7.07,7,1,4,0,0,0,14.0,20,11,11,4,5,1,7,0,0,0,66,66,6.92,1.786,12.9,2.6,3.2,4.5,1.40,,broadla01
520,Billy Buckner,24,ARI,NL,0.3,1,0,1.000,3.21,10,0,5,0,0,0,14.0,16,5,5,3,4,1,11,1,0,2,59,146,5.42,1.429,10.3,1.9,2.6,7.1,2.75,,bucknbi02
521,Jeff Fulchino,28,KCR,AL,-0.4,0,1,.000,9.00,12,0,7,0,0,0,14.0,21,15,14,2,8,0,12,1,0,1,72,49,5.20,2.071,13.5,1.3,5.1,7.7,1.50,,fulchje01
522,Jon Niese*,21,NYM,NL,-0.2,1,1,.500,7.07,3,3,0,0,0,0,14.0,20,11,11,2,8,0,11,0,0,0,69,61,5.13,2.000,12.9,1.3,5.1,7.1,1.38,,niesejo01
523,David Price*,22,TBR,AL,0.5,0,0,,1.93,5,1,0,0,0,0,14.0,9,4,3,1,4,0,12,1,0,0,57,234,3.42,0.929,5.8,0.6,2.6,7.7,3.00,,priceda01
524,Rafael Soriano,28,ATL,NL,0.3,0,1,.000,2.57,14,0,5,0,0,3,14.0,7,5,4,1,9,2,16,1,0,1,57,166,3.92,1.143,4.5,0.6,5.8,10.3,1.78,,soriara01
525,Rick van den Hurk,23,FLA,NL,-0.2,1,1,.500,7.71,4,4,0,0,0,0,14.0,20,12,12,1,10,0,20,2,0,0,74,58,3.77,2.143,12.9,0.6,6.4,12.9,2.00,,vanderi01
526,Jonathan Albaladejo,25,NYY,AL,0.2,0,1,.000,3.95,7,0,2,0,0,0,13.2,15,6,6,1,6,0,13,0,0,0,58,114,3.50,1.537,9.9,0.7,4.0,8.6,2.17,,albaljo01
527,Brendan Donnelly,36,CLE,AL,-0.5,1,0,1.000,8.56,15,0,3,0,0,0,13.2,20,13,13,2,10,0,8,0,0,0,69,51,6.06,2.195,13.2,1.3,6.6,5.3,0.80,,donnebr01
528,Mike Hinckley*,25,WSN,NL,0.8,0,0,,0.00,14,0,2,0,0,0,13.2,8,1,0,0,3,0,9,1,1,0,49,,2.69,0.805,5.3,0.0,2.0,5.9,3.00,,hinckmi01
529,Kent Mercker*,40,CIN,NL,0.3,1,0,1.000,3.29,15,0,5,0,0,0,13.2,13,5,5,1,8,1,6,0,0,1,58,136,4.96,1.537,8.6,0.7,5.3,4.0,0.75,,merckke01
530,Pat Neshek,27,MIN,AL,0.0,0,1,.000,4.73,15,0,3,0,0,0,13.1,12,7,7,2,4,1,15,0,0,0,56,91,3.73,1.200,8.1,1.4,2.7,10.1,3.75,,neshepa01
531,Rómulo Sánchez,24,PIT,NL,0.1,0,0,,4.05,10,0,5,0,0,1,13.1,14,6,6,0,6,0,3,1,0,4,57,106,4.26,1.500,9.5,0.0,4.1,2.0,0.50,,sanchro01
532,Francis Beltrán,28,DET,AL,0.1,1,0,1.000,4.85,11,0,4,0,0,0,13.0,13,7,7,3,6,1,9,0,0,1,56,94,6.13,1.462,9.0,2.1,4.2,6.2,1.50,,beltrfr01
533,Evan Meek,25,PIT,NL,-0.2,0,1,.000,6.92,9,0,7,0,0,0,13.0,11,11,10,3,12,2,7,1,0,3,61,62,8.06,1.769,7.6,2.1,8.3,4.8,0.58,,meekev01
534,Alfredo Simón,27,BAL,AL,-0.2,0,0,,6.23,4,1,0,0,0,0,13.0,16,10,9,4,2,0,8,2,0,2,59,73,6.82,1.385,11.1,2.8,1.4,5.5,4.00,,simonal01
