"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Matz, Steven","571927",,"94.5",,"88.6","83.8","79.5",,,,
"Anderson, Grant","681982","93.5","93.2",,,"86.8",,,,"80.2",
"Rodríguez, Yariel","684320","95.7","95.5",,"85.6",,,"89.3",,,
"Henriquez, Ronny","678692","96.7","95",,"87.7","91.7",,,,"85.4",
"Milner, Hoby","571948","87.9","87.5",,,"81.1",,,,"78.2",
"Darvish, Yu","506433","93.9","93.4","90.7","85.8","88","71.7","86.3",,"82.8",
"McCullers Jr., Lance","621121","91.8","91.5","89.3",,"86.7","82.3",,,"82.8",
"Dreyer, Jack","676263","92.7",,,"88.1",,"78.9",,,,
"Sheehan, Emmet","686218","95.6",,,"87.8","86.2","77.9",,,,
"Bachar, Lake","669199","94.8",,,"89.2",,,"84",,"86.5",
"Sands, Cole","663485","95","94","89.5","86.2",,"81.7","88.2",,,
"Francis, Bowden","670102","92.5","91.5",,"82.7",,"73.7","82.2",,,
"Peralta, Wandy","593974","95.3","95.4",,"87.9","88.9",,,,,
"Vest, Will","676684","96.7","96.1",,"88.7","90.4",,,,,
"Leasure, Jordan","673929","96.2","95.8",,"87.3",,,"87.1",,,
"Eflin, Zach","621107","92","91.7","88.5",,"86.6","78",,,"79.2",
"Rocker, Kumar","677958","95.8","95.6","90.1","84.2","89.5","77.5",,,,
"Hoffman, Jeff","656546","96.4","96.4",,"87",,,"89.9",,,
"Harris, Hogan","663687","93.5",,"89.1","84.4","82","73.5",,,"78.2",
"Armstrong, Shawn","542888","93.5","94.1","90.8",,,,,,"85.1","84.6"
"Suter, Brent","608718","87.3","89.1",,"78.6","76.7",,,,,
"Williams, Devin","642207","94.1",,"92.1",,"83.7",,,,,
"Phillips, Tyler","663969","94.7","95.4","90.4",,,"84.1","86.9",,"84.4",
"Keller, Brad","641745","97.2","96.7",,"87.2","92.7",,,,"86.2",
"De Los Santos, Enyel","660853","96.2",,,"88.3","87.6",,,,,
"Doval, Camilo","666808",,"96.6","98.2","89.1",,,,,,
"Lee, Dylan","669276","94.1",,,"86","86.7",,,,,
"Ashcraft, Braxton","677952","97","96.6",,"92","91.6","84.3",,,,
"Baker, Bryan","641329","96.7",,,"88.5","85.1",,,,,
